idPartido,temporada,division,jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,fecha,timestamp
36306,2017-18,1,1,Valencia,Las Palmas,1,0,18/08/2017,1503007200
36307,2017-18,1,1,Leganes,Alaves,1,0,18/08/2017,1503007200
36308,2017-18,1,1,Celta de Vigo,Real Sociedad,2,3,19/08/2017,1503093600
36309,2017-18,1,1,Girona,Atletico de Madrid,2,2,19/08/2017,1503093600
36310,2017-18,1,1,Sevilla,Espanol,1,1,19/08/2017,1503093600
36311,2017-18,1,1,Levante,Villarreal,1,0,20/08/2017,1503180000
36312,2017-18,1,1,Atletico de Bilbao,Getafe,0,0,20/08/2017,1503180000
36313,2017-18,1,1,Malaga,Eibar,0,1,20/08/2017,1503180000
36314,2017-18,1,1,Barcelona,Betis,2,0,20/08/2017,1503180000
36315,2017-18,1,1,Deportivo,Real Madrid,0,3,20/08/2017,1503180000
36316,2017-18,1,2,Real Sociedad,Villarreal,3,0,25/08/2017,1503612000
36317,2017-18,1,2,Betis,Celta de Vigo,2,1,25/08/2017,1503612000
36318,2017-18,1,2,Alaves,Barcelona,0,2,26/08/2017,1503698400
36319,2017-18,1,2,Levante,Deportivo,2,2,26/08/2017,1503698400
36320,2017-18,1,2,Las Palmas,Atletico de Madrid,1,5,26/08/2017,1503698400
36321,2017-18,1,2,Girona,Malaga,1,0,26/08/2017,1503698400
36322,2017-18,1,2,Espanol,Leganes,0,1,27/08/2017,1503784800
36323,2017-18,1,2,Real Madrid,Valencia,2,2,27/08/2017,1503784800
36324,2017-18,1,2,Getafe,Sevilla,0,1,27/08/2017,1503784800
36325,2017-18,1,2,Eibar,Atletico de Bilbao,0,1,27/08/2017,1503784800
36326,2017-18,1,3,Leganes,Getafe,1,2,08/09/2017,1504821600
36327,2017-18,1,3,Valencia,Atletico de Madrid,0,0,09/09/2017,1504908000
36328,2017-18,1,3,Real Madrid,Levante,1,1,09/09/2017,1504908000
36329,2017-18,1,3,Sevilla,Eibar,3,0,09/09/2017,1504908000
36330,2017-18,1,3,Barcelona,Espanol,5,0,09/09/2017,1504908000
36331,2017-18,1,3,Villarreal,Betis,3,1,10/09/2017,1504994400
36332,2017-18,1,3,Deportivo,Real Sociedad,2,4,10/09/2017,1504994400
36333,2017-18,1,3,Celta de Vigo,Alaves,1,0,10/09/2017,1504994400
36334,2017-18,1,3,Atletico de Bilbao,Girona,2,0,10/09/2017,1504994400
36335,2017-18,1,3,Malaga,Las Palmas,1,3,11/09/2017,1505080800
36336,2017-18,1,4,Eibar,Leganes,1,0,15/09/2017,1505426400
36337,2017-18,1,4,Getafe,Barcelona,1,2,16/09/2017,1505512800
36338,2017-18,1,4,Betis,Deportivo,2,1,16/09/2017,1505512800
36339,2017-18,1,4,Atletico de Madrid,Malaga,1,0,16/09/2017,1505512800
36340,2017-18,1,4,Levante,Valencia,1,1,16/09/2017,1505512800
36341,2017-18,1,4,Las Palmas,Atletico de Bilbao,1,0,17/09/2017,1505599200
36342,2017-18,1,4,Girona,Sevilla,0,1,17/09/2017,1505599200
36343,2017-18,1,4,Real Sociedad,Real Madrid,1,3,17/09/2017,1505599200
36344,2017-18,1,4,Alaves,Villarreal,0,3,17/09/2017,1505599200
36345,2017-18,1,4,Espanol,Celta de Vigo,2,1,18/09/2017,1505685600
36346,2017-18,1,5,Barcelona,Eibar,6,1,19/09/2017,1505772000
36347,2017-18,1,5,Valencia,Malaga,5,0,19/09/2017,1505772000
36348,2017-18,1,5,Atletico de Bilbao,Atletico de Madrid,1,2,20/09/2017,1505858400
36349,2017-18,1,5,Sevilla,Las Palmas,1,0,20/09/2017,1505858400
36350,2017-18,1,5,Deportivo,Alaves,1,0,20/09/2017,1505858400
36351,2017-18,1,5,Real Madrid,Betis,0,1,20/09/2017,1505858400
36352,2017-18,1,5,Leganes,Girona,0,0,20/09/2017,1505858400
36353,2017-18,1,5,Celta de Vigo,Getafe,1,1,21/09/2017,1505944800
36354,2017-18,1,5,Levante,Real Sociedad,3,0,21/09/2017,1505944800
36355,2017-18,1,5,Villarreal,Espanol,0,0,21/09/2017,1505944800
36356,2017-18,1,6,Alaves,Real Madrid,1,2,23/09/2017,1506117600
36357,2017-18,1,6,Malaga,Atletico de Bilbao,3,3,23/09/2017,1506117600
36358,2017-18,1,6,Atletico de Madrid,Sevilla,2,0,23/09/2017,1506117600
36359,2017-18,1,6,Girona,Barcelona,0,3,23/09/2017,1506117600
36360,2017-18,1,6,Espanol,Deportivo,4,1,24/09/2017,1506204000
36361,2017-18,1,6,Las Palmas,Leganes,0,2,24/09/2017,1506204000
36362,2017-18,1,6,Getafe,Villarreal,4,0,24/09/2017,1506204000
36363,2017-18,1,6,Eibar,Celta de Vigo,0,4,24/09/2017,1506204000
