Calories,Time
0.0,0.0
177.9,13.7
644.1,51.9
929.4,55.4
941.2,61.9
303.1,19.9
342.3,16.9
373.2,25.9
461.0,28.6
359.9,18.3
997.7,71.3
378.3,25.7
708.2,46.6
859.0,54.9
507.8,33.0
816.5,72.9
122.0,10.9
779.2,34.1
1201.2,87.8
607.1,48.7
321.7,17.0
244.8,18.9
761.5,56.7
947.4,52.5
153.7,7.8
591.1,37.8
643.3,35.4
638.6,49.5
422.3,26.3
749.3,40.1
287.8,21.2
1118.1,72.2
900.0,70.6
612.2,48.2
712.6,44.6
439.9,43.9
746.6,33.5
597.8,32.7
535.9,29.6
369.7,30.1
575.9,35.3
813.3,51.9
807.0,47.6
451.0,24.8
465.5,37.0
294.1,16.7
948.7,45.5
696.0,39.7
693.9,69.4
142.5,10.5
270.2,17.4
417.9,33.4
807.6,41.5
970.8,49.7
614.7,30.8
850.9,50.7
96.0,6.2
755.0,64.5
243.8,14.2
806.3,74.0
982.2,64.7
72.6,6.8
864.9,45.1
423.2,27.8
292.8,19.4
924.6,61.4
723.5,58.8
944.9,59.7
291.6,24.6
879.5,43.7
907.5,66.8
212.0,8.7
215.7,15.2
496.2,31.1
