pies_cuadrados_casa;num_banios;num_habitaciones;num_cocinas;num_coches_garaje;pies_cuadrados_garaje;precio_dolares
1710;2;3;1;2;548;208500
1262;2;3;1;2;460;181500
1786;2;3;1;2;608;223500
1717;1;3;1;3;642;140000
2198;2;4;1;3;836;250000
1362;1;1;1;2;480;143000
1694;2;3;1;2;636;307000
2090;2;3;1;2;484;200000
1774;2;2;2;2;468;129900
1077;1;2;2;1;205;118000
1040;1;3;1;1;384;129500
2324;3;4;1;3;736;345000
912;1;2;1;1;352;144000
1494;2;3;1;3;840;279500
1253;1;2;1;1;352;157000
854;1;2;1;2;576;132000
1004;1;2;1;2;480;149000
1296;2;2;2;2;516;90000
1114;1;3;1;2;576;159000
1339;1;3;1;1;294;139000
2376;3;4;1;3;853;325300
1108;1;3;1;1;280;139400
1795;2;3;1;2;534;230000
1060;1;3;1;2;572;129900
1060;1;3;1;1;270;154000
1600;2;3;1;3;890;256300
900;1;3;1;2;576;134800
1704;2;3;1;3;772;306000
1600;1;2;1;1;319;207500
520;1;1;1;1;240;68500
1317;1;3;1;1;250;40000
1228;1;3;1;1;271;149350
1234;2;3;1;2;484;179900
1700;1;4;1;2;447;165500
1561;2;2;1;2;556;277500
2452;3;4;1;3;691;309000
1097;1;3;1;2;672;145000
1297;1;3;1;2;498;153000
1057;1;3;1;1;246;109000
1152;2;2;2;0;0;82000
1324;2;3;1;2;440;160000
1328;1;2;1;1;308;170000
884;1;2;1;2;504;144000
938;1;3;1;1;308;130250
1150;1;3;1;1;300;141000
1752;2;2;1;2;576;319900
2149;1;1;1;2;670;239686
1656;2;3;1;3;826;249700
1452;2;2;3;0;0;113000
955;1;3;1;1;386;127000
1470;2;3;1;2;388;177000
1176;1;3;1;2;528;114500
816;1;2;1;2;516;110000
1842;0;0;1;3;894;385000
1360;1;3;1;2;572;130000
1425;2;3;1;2;576;180500
1739;2;3;1;2;480;172500
1720;2;3;1;2;565;196500
2945;3;3;1;3;641;438780
780;1;2;1;1;352;124900
1158;1;3;1;2;576;158000
1111;1;3;1;1;288;101000
1370;2;2;1;2;484;202500
1710;2;3;1;2;480;140000
2034;2;3;1;2;645;219500
2473;2;4;1;3;852;317000
2207;2;3;1;2;576;180000
1479;2;3;1;2;558;226000
747;1;2;1;1;220;80000
2287;2;3;1;2;667;225000
2223;2;3;1;2;516;244000
845;1;2;1;2;360;129500
1718;2;3;1;2;427;185000
1086;1;3;1;2;490;144900
1605;2;3;2;1;379;107400
988;1;2;1;1;297;91000
952;1;2;1;1;283;135750
1285;1;2;1;1;240;127000
1768;2;4;2;0;0;136500
1230;1;2;1;2;440;110000
2142;2;4;1;1;509;193500
1337;2;2;1;2;405;153500
1563;2;3;1;3;758;245000
1065;1;3;1;2;461;126500
1474;2;3;1;2;400;168500
2417;2;4;1;2;462;260000
1560;2;3;1;2;400;174000
1224;2;2;1;2;528;164500
1526;1;2;1;0;0;85000
990;1;3;1;0;0;123600
1040;1;2;1;2;420;109900
1235;1;2;1;2;480;98600
964;1;2;1;2;432;163500
2291;2;4;2;2;506;133900
1786;2;3;1;2;684;204750
1470;2;3;1;2;420;185000
1588;2;3;1;2;472;214000
960;1;3;1;1;432;94750
835;1;2;1;1;366;83000
1225;1;3;1;0;0;128950
1610;2;3;1;2;480;205000
1732;2;3;1;2;476;178000
1535;2;4;2;2;410;118964
1226;2;3;1;3;740;198900
1818;1;4;1;1;240;169500
1992;2;3;1;2;648;250000
1047;1;2;1;1;273;100000
789;1;2;1;1;250;115000
1517;2;3;1;0;0;115000
1844;2;3;1;2;546;190000
1855;2;4;1;1;325;136900
1430;2;3;1;2;400;180000
2696;2;4;1;3;792;383970
2259;2;3;1;2;450;217000
2320;2;3;1;1;180;259500
1458;2;2;1;2;440;176000
1092;1;3;1;1;288;139000
1125;1;2;1;2;430;155000
3222;3;5;1;3;594;320000
1456;2;3;1;2;390;163990
988;1;1;1;2;540;180000
1123;1;3;1;1;264;100000
1080;1;3;1;1;288;136000
1199;2;2;1;2;530;153900
1586;2;3;1;2;435;181000
754;1;2;1;0;0;84500
958;2;2;1;2;440;128000
840;1;3;1;0;0;87000
1348;1;3;1;2;453;155000
1053;1;3;1;2;750;150000
2157;2;4;1;2;487;226000
2054;2;3;1;2;390;244000
1327;1;3;1;2;624;150750
1296;2;2;1;2;471;220000
1721;2;3;1;2;440;180000
1682;2;3;1;2;530;174000
1214;2;3;1;1;318;143000
1959;3;5;2;3;766;171000
1852;2;3;1;3;660;230000
1764;2;3;1;2;470;231500
864;1;3;1;0;0;115000
1734;2;3;1;2;660;260000
1385;2;4;1;2;720;166000
1501;2;3;1;2;577;204000
1728;2;6;2;2;504;125000
1709;2;3;1;2;380;130000
875;1;2;1;1;180;105000
2035;2;3;1;2;434;222500
1080;1;3;1;0;0;141000
1344;1;3;1;1;240;115000
969;1;3;1;2;440;122000
1710;2;2;1;3;866;372402
1993;2;4;1;2;495;190000
1252;1;1;1;2;564;235000
1200;1;4;1;1;312;125000
1096;1;2;1;0;0;79000
1040;1;2;1;2;625;109500
1968;2;4;1;3;680;269500
1947;2;3;1;2;678;254900
2462;2;4;1;2;576;320000
1232;2;3;1;2;516;162500
2668;2;3;1;3;726;412500
1541;2;3;1;2;532;220000
882;1;1;1;0;0;103200
1616;2;3;1;1;216;152000
1355;2;4;2;0;0;127500
1867;1;2;1;1;303;190000
2161;1;3;1;3;789;325624
1720;2;3;1;2;440;183500
1707;2;2;1;2;511;228000
1382;1;2;1;2;660;128500
1656;1;3;1;2;528;215000
1767;2;2;1;2;504;239000
1362;1;3;1;2;504;163000
1651;2;3;1;2;616;184000
2158;2;4;1;2;576;243000
2060;2;4;1;2;521;211000
1920;2;4;1;2;451;172500
968;1;2;1;2;480;100000
1525;2;3;1;2;440;177000
1802;1;4;1;1;216;200100
1340;1;3;1;1;252;120000
2082;2;3;1;2;484;200000
1252;1;3;1;2;576;127000
1217;2;3;1;2;497;173000
1656;2;3;1;1;180;135000
1224;0;2;2;2;528;153337
1593;1;0;1;2;682;286000
2727;2;3;1;2;440;315000
1479;1;4;1;2;484;184000
1431;2;3;1;2;666;192000
1709;2;3;1;2;380;130000
864;1;3;1;1;352;127000
1456;2;3;1;2;440;148500
1726;2;3;1;3;786;311872
3112;2;4;1;2;795;235000
2229;1;5;1;0;0;104000
1713;2;3;1;3;856;274900
1121;2;2;1;2;440;140000
1279;2;3;1;2;473;171500
1310;2;2;1;1;398;112000
848;1;1;1;2;420;149000
1284;1;2;1;1;240;110000
1442;2;3;1;2;500;180500
1696;1;3;1;1;349;143900
1100;1;3;1;1;312;141000
2062;2;3;1;2;454;277000
1092;1;3;1;2;504;145000
864;1;2;1;0;0;98000
1212;2;3;1;2;460;186000
1852;2;3;1;2;644;252678
990;1;3;1;2;576;156000
1392;1;3;1;1;299;161750
1236;1;2;1;1;447;134450
1436;2;3;1;2;484;210000
1328;1;3;1;1;210;107000
1954;1;3;1;2;431;311500
1248;2;2;1;2;438;167240
1498;2;2;1;2;675;204900
2267;2;4;1;2;390;200000
1552;2;3;1;2;434;179900
864;1;2;1;2;576;97000
2392;2;3;1;3;968;386250
1302;2;3;1;1;280;112000
2520;2;4;1;3;721;290000
987;1;2;1;1;280;106000
912;1;3;1;1;336;125000
1555;2;2;1;2;430;192500
1194;1;3;1;1;312;148000
2794;2;4;1;3;810;403000
987;1;2;1;1;288;94500
894;1;3;1;1;308;128200
1960;2;4;1;2;440;216500
987;1;2;1;1;264;89500
1414;2;3;1;2;494;185500
1744;2;3;1;2;457;194500
1694;2;3;1;3;818;318000
1487;1;3;1;1;220;113000
1566;2;3;1;2;750;262500
866;1;2;1;0;0;110500
1440;1;3;1;1;352;79000
1217;1;3;1;1;288;120000
2110;2;3;1;2;463;205000
1872;2;3;1;2;604;241500
1928;2;4;2;1;440;137000
1375;1;2;1;2;451;140000
1668;2;3;1;2;500;180000
2144;2;4;1;2;389;277000
1306;1;3;1;0;0;76500
1625;2;2;1;2;538;235000
1640;2;3;1;2;520;173000
1302;2;3;1;1;309;158000
1314;1;3;1;1;294;145000
2291;2;4;1;2;429;230000
1728;2;3;1;2;673;207500
1604;2;3;1;2;660;220000
1792;2;3;1;2;564;231500
882;1;2;1;1;308;97000
1382;1;3;1;2;884;176000
2574;2;3;1;3;868;276000
1212;1;3;1;2;492;151000
1316;1;3;1;2;484;130000
764;1;2;1;2;504;73000
1422;2;3;1;2;576;175500
1511;2;3;1;2;413;185000
2192;2;4;1;1;240;179500
778;1;2;1;1;924;120500
1113;1;3;1;1;504;148000
1939;2;3;1;3;1053;266000
1363;1;2;1;2;439;241500
2270;2;4;1;3;671;290000
1632;2;3;1;1;338;139000
816;1;2;1;1;264;124500
1548;2;3;1;2;672;205000
1560;2;3;1;2;573;201000
864;1;2;1;2;400;141000
2121;2;3;1;3;732;415298
2022;2;4;1;2;505;192000
